Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP
AR01067828513026867201,MONEY GAME VENTURES LLC,EIN ID 82-4012570,US,,8,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17673631337451356161,Tomáš Klopta,,"AT, BE, DE, ES, FI, FR, IT, LU, NL, SK",,8,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16156468706036154369,Friends of Brandon Johnson,Registered in US-IL 34198,US,,23,60800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04738262209333821441,PROTECT COLORADO'S RECOVERY,Registered in US-CO 20205039663,US,,17,118700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17395258598438731777,Representative Hank Johnson - US House of Representatives,EIN ID 53-6002523,US,,7,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16353310527545409537,Committee to Elect Deshundra,EIN ID 92-1488413,US,,1,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14095879805576675329,Dumio Web Srl,,RO,,2,0,100,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0
AR18032043884401393665,EDWARDS FOR NEW HAMPSHIRE,FEC ID C00637397,US,,32,12800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15444473972875329537,包昇數位文化有限公司,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK, TW",,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3201000,0,0,0,0
AR16447116736458653697,Biuro Poselskie Posła Ryszarda Galli,,"CZ, HR, PL",,3,0,300,0,0,0,0,0,1250,0,0,0,0,0,0,0,0,0,0,0
AR03608579570174787585,"Radicali Italiani - Movimento liberale, liberista, libertario",,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,5,0,3950,0,0,0,0,0,250,250,0,0,0,0,0,0,0,0,0,0
AR17072777163771478017,FRIENDS OF VANGIE WILLIAMS,FEC ID C00632059,US,,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17773308182542680065,BRINDISI FOR CONGRESS,FEC ID C00648725,US,,74,95300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14327976883315015681,ELEICAO 2022 DAVID CABRAL DAVINO FILHO SENADOR,,BR,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56000,0,0,0
AR01467888292694327297,NORTH FUND,EIN ID 83-4011547,US,,115,1095200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15963484280554782721,PEOPLE FOR SHEKAR,EIN ID 83-2611690,US,,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04108123574240280577,Tom Patti For Congress,FEC ID C00792168,US,,48,64700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16392654661359763457,ELEICAO 2022 MARCELO BARBISAN DE SOUZA DEPUTADO FEDERAL,,BR,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0
AR05957505155816488961,People Who Play By The Rules PAC,Registered in US-IL 37277,US,,75,315900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01065219268854939649,JUDE PAUL SAVOIE CAMPAIGN,EIN ID 92-2077097,US,,1,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR07632327721611165697,FRIENDS OF STEVE MENTZER,EIN ID 46-0872188,US,,11,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR07362111743968935937,PETERS FOR MICHIGAN,FEC ID C00437889,US,,235,2124800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11383027312933994497,SAN DIEGO COUNTY DEMOCRATIC PARTY (FED. ACCT.),FEC ID C00402826,US,,7,35700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR07324957047043129345,TEAMWV63,EIN ID 84-4684976,US,,24,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11654946812044771329,JAMES TALARICO CAMPAIGN,EIN ID 82-2538176,US,,22,20100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08737458678438821889,TEXANS FOR JODEY ARRINGTON,FEC ID C00588657,US,,7,3400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR07472449934839513089,NRDC ACTION VOTES,FEC ID C00740225,US,,10,106100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
